name,date,bytes,isdir,datenum,Folder,path,Tm,Tn,PC1,PC2
05c59a5617ef71b5d70c0542547c6137ac12d2f7.jpg,4/11/16 19:23,52289,FALSE,736431.8077,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/05c59a5617ef71b5d70c0542547c6137ac12d2f7.jpg,221,947,-12.1411,-0.29483
05fb25fad8672a7ae3b46bac8b44fb66dca2df58.jpg,4/11/16 19:23,249339,FALSE,736431.8081,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/05fb25fad8672a7ae3b46bac8b44fb66dca2df58.jpg,1531,947,-12.7731,-0.36948
060f3b3786bc5400779e117d174096ccdab9dd53.jpg,4/11/16 19:23,84508,FALSE,736431.8081,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/060f3b3786bc5400779e117d174096ccdab9dd53.jpg,617,947,70.5692,-2.437
061bf0f76a86f2eecb0b223a1aeb417f9d68f1c2.jpg,4/11/16 19:23,246762,FALSE,736431.8081,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/061bf0f76a86f2eecb0b223a1aeb417f9d68f1c2.jpg,1911,947,-12.7075,-0.40183
0621b40862d8b43f6e0265ff28a1c6dd6e1e1574.jpg,4/11/16 19:23,53455,FALSE,736431.8081,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/0621b40862d8b43f6e0265ff28a1c6dd6e1e1574.jpg,311,947,-5.1673,0.34033
069ff09b147cd1ff55115006e52f7ad4632c4a94.jpg,4/11/16 19:22,128033,FALSE,736431.8075,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/069ff09b147cd1ff55115006e52f7ad4632c4a94.jpg,867,947,-12.209,-0.20121
078034e33fbc7d0fe6236e92ca31f88650c35e0b.jpg,4/11/16 19:22,67823,FALSE,736431.8073,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/078034e33fbc7d0fe6236e92ca31f88650c35e0b.jpg,401,947,-7.8921,-0.33824
07e7ad00b9b23f0df0cb988d8fcabcb01fc65807.jpg,4/11/16 19:22,113999,FALSE,736431.8076,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/07e7ad00b9b23f0df0cb988d8fcabcb01fc65807.jpg,797,947,5.3358,-1.0845
07f297912d44c3acefe8b2756359709f6d01f389.jpg,4/11/16 19:23,64949,FALSE,736431.8077,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/07f297912d44c3acefe8b2756359709f6d01f389.jpg,367,947,60.1097,-2.4985
08da0fd8aae093070b25cc2472efaf1619cf4a54.jpg,4/11/16 19:22,71987,FALSE,736431.8075,~/CC/Reverse_Plot/scrape_figures\dump/full/,~/CC/Reverse_Plot/scrape_figures\dump/full/08da0fd8aae093070b25cc2472efaf1619cf4a54.jpg,407,947,-12.7429,-0.4631
